Source,Target,Type,Id,Label,timeset,Weight
politics,counterterrorism,Undirected,153,1,,1
cities,guerilla,Undirected,154,1,,1
cities,guerrilla,Undirected,155,1,,1
stim,singularity,Undirected,156,1,,1
front,unread,Undirected,157,1,,1
front,sabotage,Undirected,158,1,,1
front,future,Undirected,159,1,,1
front,anonymous,Undirected,160,1,,1
front,environment,Undirected,161,1,,1
front,misc,Undirected,162,1,,1
front,technology,Undirected,163,1,,1
front,terrorist,Undirected,164,1,,1
front,terrorists,Undirected,165,1,,1
front,liberation,Undirected,166,1,,1
front,wiki,Undirected,167,1,,1
front,singularity,Undirected,168,1,,1
front,wikipedia,Undirected,169,1,,1
front,guerilla,Undirected,170,1,,1
front,guerrilla,Undirected,171,1,,1
front,autonomous,Undirected,172,1,,1
front,activism,Undirected,173,1,,1
front,counterterrorism,Undirected,174,1,,1
front,isotope,Undirected,175,1,,1
front,earth,Undirected,176,1,,1
front,economic,Undirected,177,1,,1
unread,sabotage,Undirected,178,1,,1
unread,terrorist,Undirected,179,1,,1
unread,terrorists,Undirected,180,1,,1
unread,liberation,Undirected,181,1,,1
unread,singularity,Undirected,182,1,,1
unread,guerilla,Undirected,183,1,,1
unread,guerrilla,Undirected,184,1,,1
unread,autonomous,Undirected,185,1,,1
unread,counterterrorism,Undirected,186,1,,1
unread,isotope,Undirected,187,1,,1
civil-rights,counterterrorism,Undirected,188,1,,1
civil.rights,counterterrorism,Undirected,189,1,,1
civilisation,singularity,Undirected,190,1,,1
russia,autonomous,Undirected,191,1,,1
civilisations,singularity,Undirected,192,1,,1
urban,guerilla,Undirected,193,1,,1
urban,guerrilla,Undirected,194,1,,1
noosphere,singularity,Undirected,195,1,,1
anarchism,terrorist,Undirected,196,1,,1
popculture,terrorist,Undirected,197,1,,1
popculture,guerilla,Undirected,198,1,,1
anarchy,guerilla,Undirected,199,1,,1
anarchy,guerrilla,Undirected,200,1,,1
fun,singularity,Undirected,201,1,,1
sabotage,future,Undirected,202,1,,1
sabotage,subversion,Undirected,203,1,,1
sabotage,anonymous,Undirected,204,1,,1
sabotage,environment,Undirected,205,1,,1
sabotage,scifigenreresearch,Undirected,206,1,,1
sabotage,column,Undirected,207,1,,1
sabotage,military%2fscience%2fpolitics,Undirected,208,1,,1
sabotage,misc,Undirected,209,1,,1
sabotage,technology,Undirected,210,1,,1
sabotage,term,Undirected,211,1,,1
sabotage,terrorist,Undirected,212,1,,1
sabotage,terrorists,Undirected,213,1,,1
sabotage,liberation,Undirected,214,1,,1
sabotage,the,Undirected,215,1,,1
sabotage,conspiracy,Undirected,216,1,,1
sabotage,wiki,Undirected,217,1,,1
sabotage,singularity,Undirected,218,1,,1
sabotage,wikipedia,Undirected,219,1,,1
sabotage,guerilla,Undirected,220,1,,1
sabotage,guerrilla,Undirected,221,1,,1
sabotage,fiction%2fstorystuff,Undirected,222,1,,1
sabotage,autonomous,Undirected,223,1,,1
sabotage,fifth,Undirected,224,1,,1
sabotage,activism,Undirected,225,1,,1
sabotage,social,Undirected,226,1,,1
sabotage,counterterrorism,Undirected,227,1,,1
sabotage,sociology,Undirected,228,1,,1
sabotage,isotope,Undirected,229,1,,1
sabotage,earth,Undirected,230,1,,1
sabotage,economic,Undirected,231,1,,1
us,terrorist,Undirected,232,2,,2
us,guerilla,Undirected,233,1,,1
en,singularity,Undirected,234,1,,1
us-politics,terrorist,Undirected,235,1,,1
usa,terrorist,Undirected,236,3,,3
usa,guerilla,Undirected,237,1,,1
media,counterterrorism,Undirected,238,1,,1
media-art,singularity,Undirected,239,1,,1
encyclopedia,terrorist,Undirected,240,1,,1
encyclopedia,terrorists,Undirected,241,1,,1
end-times,singularity,Undirected,242,1,,1
student,singularity,Undirected,243,1,,1
end_times,singularity,Undirected,244,1,,1
future,terrorist,Undirected,245,1,,1
